GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,de.neuefische.flooooooooooorian.backend.config,ReactRoutingForwarding,2,3,0,0,1,1,1,1,1,1
backend,de.neuefische.flooooooooooorian.backend,BackendApplication,5,3,0,0,2,1,1,1,1,1
